CVE,DESCRIP
A180,Tuberculosis de huesos y articulaciones
A181,Tuberculosis del aparato genitourinario
A182,Linfadenopatía periférica tuberculosa
A183,"Tuberculosis de los intestinos, el peritoneo y los ganglios mesentéricos"
A184,Tuberculosis de la piel y el tejido subcutáneo
A188,Tuberculosis de otros órganos especificados
A190,Tuberculosis miliar aguda de un solo sitio especificado
A191,Tuberculosis miliar aguda de sitios múltiples
A192,"Tuberculosis miliar aguda, no especificada"
A198,Otras tuberculosis miliares
A199,"Tuberculosis miliar, sin otra especificación"
A220,Carbunco cutáneo
A244,"Melioidosis, no especificada"
A279,"Leptospirosis, no especificada"
A301,Lepra tuberculoide
A305,Lepra lepromatosa
A308,Otras formas de lepra
A309,"Lepra, no especificada"
A310,Infecciones por micobacterias pulmonares
A321,Meningitis y meningoencefalitis listeriana
A329,"Listeriosis, no especificada"
A35X,Otros tétanos
A370,Tos ferina debida a Bordetella pertussis
A371,Tos ferina debida a Bordetella parapertussis
A378,Tos ferina debida a otras especies de Bordetella
A379,"Tos ferina, no especificada"
A390,Meningitis meningocócica
A394,"Meningococemia, no especificada"
A402,"Sepsis debida a estreptococo, grupo D y enterococo"
A403,Sepsis debida a Streptococcus pneumoniae
A409,"Sepsis estreptocócica, no especificada"
A410,Sepsis debida a Staphylococcus aureus
A411,Sepsis debida a otro estafilococo especificado
A412,Sepsis debida a estafilococo no especificado
A414,Sepsis debida a anaerobios
A415,Sepsis debida a otros organismos gramnegativos
A418,Otras sepsis especificadas
A419,"Sepsis, no especificada"
A420,Actinomicosis pulmonar
A429,"Actinomicosis, sin otra especificación"
A46X,Erisipela
A480,Gangrena gaseosa
A481,Enfermedad de los legionarios
A488,Otras enfermedades bacterianas especificadas
A490,"Infección estafilocócica, sin otra especificación"
A491,"Infección estreptocócica y enterocócica, de sitio no especificado"
A492,"Infección por Haemophilus influenzae, sin otra especificación"
A493,"Infección por microplasma, sin otra especificación"
A498,Otras infecciones bacterianas de sitio no especificado
A499,"Infección bacteriana, no especificada"
A500,"Sífilis congénita precoz, sintomática"
A502,"Sífilis congénita precoz, sin otra especificación"
A509,"Sífilis congénita, sin otra especificación"
A514,Otras sífilis secundarias
A520,Sífilis cardiovascular
A521,Neurosífilis sintomática
A523,Neurosífilis no especificada
A527,Otras sífilis tardías sintomáticas
A539,"Sífilis, no especificada"
A630,Verrugas (venéreas) anogenitales
A638,"Otras enfermedades de transmisión predominantemente sexual, especificadas"
A692,Enfermedad de Lyme
A750,Tifus epidémico debido a Rickettsia prowazekii transmitido por piojos
A770,Fiebre maculosa debida a Rickettsia rickettsii
A779,"Fiebre maculosa, no especificada"
A798,Otras rickettsiosis especificadas
A799,"Rickettsiosis, no especificada"
A810,Enfermedad de Creutzfeldt-Jakob
A812,Leucoencefalopatía multifocal progresiva
A819,"Infecciones del sistema nervioso central por virus atípico, sin otra especificación"
A829,"Rabia, sin otra especificación"
A86X,"Encefalitis viral, no especificada"
A878,Otras meningitis virales
A879,"Meningitis viral, sin otra especificación"
A89X,"Infección viral del sistema nervioso central, no especificada"
A929,"Fiebre viral transmitida por mosquito, sin otra especificación"
A970,Dengue sin signos de alarma
A971,Dengue con signos de alarma
A972,Dengue severo
A979,Dengue no especificado
A99X,"Fiebre viral hemorrágica, no especificada"
B004,Encefalitis herpética
B007,Enfermedad herpética diseminada
B011,Encefalitis debida a varicela
B012,Neumonía debida a varicela
B018,Varicela con otras complicaciones
B019,Varicela sin complicaciones
B020,Encefalitis debida a herpes zoster
B022,Herpes zoster con otros compromisos del sistema nervioso
B023,Herpes zoster ocular
B027,Herpes zoster diseminado
B028,Herpes zoster con otras complicaciones
B029,Herpes zoster sin complicaciones
B04X,Viruela de los monos
B09X,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas"
B150,"Hepatitis aguda tipo A, con coma hepático"
B159,"Hepatitis aguda tipo A, sin coma hepático"
B162,"Hepatitis aguda tipo B, sin agente delta, con coma hepático"
B169,"Hepatitis aguda tipo B, sin agente delta y sin coma hepático"
B171,Hepatitis aguda tipo C
B172,Hepatitis aguda tipo E
B179,Hepatitis viral aguda no especificada
B181,"Hepatitis viral tipo B crónica, sin agente delta"
B182,Hepatitis viral tipo C crónica
B188,Otras hepatitis virales crónicas
B189,"Hepatitis viral crónica, sin otra especificación"
B190,Hepatitis viral no especificada con coma hepático
B199,Hepatitis viral no especificada sin coma hepático
B200,"Enfermedad por VIH, resultante en infección por micobacterias"
B201,"Enfermedad por VIH, resultante en otras infecciones bacterianas"
B202,"Enfermedad por VIH, resultante en enfermedad por citomegalovirus"
B203,"Enfermedad por VIH, resultante en otras infecciones virales"
B204,"Enfermedad por VIH, resultante en candidiasis"
B205,"Enfermedad por VIH, resultante en otras micosis"
B206,"Enfermedad por VIH, resultante en neumonía por Pneumocystis carinii"
B207,"Enfermedad por VIH, resultante en infecciones múltiples"
B208,"Enfermedad por VIH, resultante en otras enfermedades infecciosas o parasitarias"
B209,"Enfermedad por VIH, resultante en enfermedad infecciosa o parasitaria no especificada"
B210,"Enfermedad por VIH, resultante en sarcoma de Kaposi"
B211,"Enfermedad por VIH, resultante en linfoma de Burkitt"
B212,"Enfermedad por VIH, resultante en otros tipos de linfoma no Hodgkin"
B213,"Enfermedad por VIH, resultante en otros tumores malignos del tejido linfoide, hematopoyético y tejidos relacionados"
B217,"Enfermedad por VIH, resultante en tumores malignos múltiples"
B218,"Enfermedad por VIH, resultante en otros tumores malignos"
B219,"Enfermedad por VIH, resultante en tumores malignos no especificados"
B220,"Enfermedad por VIH, resultante en encefalopatía"
B221,"Enfermedad por VIH, resultante en neumonitis linfoide intersticial"
B222,"Enfermedad por VIH, resultante en síndrome caquéctico"
B227,"Enfermedad por VIH, resultante en enfermedades múltiples clasificadas en otra parte"
B230,Síndrome de infección aguda debida a VIH
B231,"Enfermedad por VIH, resultante en linfadenopatía generalizada (persistente)"
B232,"Enfermedad por VIH, resultante en anormalidades inmunológicas y hematológicas, no clasificadas en otra parte"
B238,"Enfermedad por VIH, resultante en otras afecciones especificadas"
B24X,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación"
B250,Neumonitis debida a virus citomegálico
B251,Hepatitis debida a virus citomegálico
B258,Otras enfermedades debidas a virus citomegálico
B259,"Enfermedad por virus citomegálico, no especificada"
B268,Parotiditis infecciosa con otras complicaciones
B269,"Parotiditis, sin complicaciones"
B270,Mononucleosis debida a herpes virus gamma
B271,Mononucleosis por citomegalovirus
B338,Otras enfermedades virales especificadas
B341,"Infección debida a enterovirus, sin otra especificación"
B343,"Infección debida a Parvovirus, sin otra especificación"
B348,Otras infecciones virales de sitio no especificado
B349,"Infección viral, no especificada"
B350,Tiña de la barba y del cuero cabelludo
B362,Piedra blanca
B370,Estomatitis candidiásica
B371,Candidiasis pulmonar
B373,Candidiasis de la vulva y de la vagina
B374,Candidiasis de otras localizaciones urogenitales
B375,Meningitis debida a candida
B376,Endocarditis debida a candida
B377,Sepsis debida a candida
B378,Candidiasis de otros sitios
B379,"Candidiasis, no especificada"
B380,Coccidioidomicosis pulmonar aguda
B382,"Coccidioidomicosis pulmonar, sin otra especificación"
B384,Meningitis debida a coccidioidomicosis
B387,Coccidioidomicosis diseminada
B389,"Coccidioidomicosis, no especificada"
B392,"Infección pulmonar debida a Histoplasma capsulatum, sin otra especificación"
B393,Infección diseminada debida a Histoplasma capsulatum
B394,"Histoplasmosis debida a Histoplasma capsulatum, sin otra especificación"
B399,"Histoplasmosis, no especificada"
B409,"Blastomicosis, no especificada"
B431,Absceso cerebral feomicótico
B440,Aspergilosis pulmonar invasiva
B441,Otras aspergilosis pulmonares
B447,Aspergilosis diseminada
B449,"Aspergilosis, no especificada"
B450,Criptococosis pulmonar
B451,Criptococosis cerebral
B457,Criptococosis diseminada
B458,Otras formas de criptococosis
B459,"Criptococosis, no especificada"
B460,Mucormicosis pulmonar
B461,Mucormicosis rinocerebral
B463,Mucormicosis cutánea
B464,Mucormicosis diseminada
B465,"Mucormicosis, sin otra especificación"
B479,"Micetoma, no especificado"
B487,Micosis oportunistas
B488,Otras micosis especificadas
B49X,"Micosis, no especificada"
B54X,Paludismo [malaria] no especificado
B572,Enfermedad de Chagas (crónica) que afecta al corazón
B575,Enfermedad de Chagas (crónica) que afecta otros órganos
B582,Meningoencefalitis debida a Toxoplasma
B588,Toxoplasmosis con otro órgano afectado
B589,"Toxoplasmosis, no especificada"
B59X,Neumocistosis
B670,Infección del hígado debida a Echinococcus granulosus
B678,"Equinococosis del hígado, no especificada"
B679,"Equinococosis, otra y la no especificada"
B680,Teniasis debida a Taenia solium
B690,Cisticercosis del sistema nervioso central
B699,"Cisticercosis, no especificada"
B770,Ascariasis con complicaciones intestinales
B779,"Ascariasis, no especificada"
B811,Capilariasis intestinal
B829,"Parasitosis intestinal, sin otra especificación"
B870,Miasis cutánea
B871,Miasis en heridas
B873,Miasis nasofaríngea
B878,Miasis de otros sitios
B879,"Miasis, no especificada"
B889,"Infestación, no especificada"
B89X,"Enfermedad parasitaria, no especificada"
B900,Secuelas de tuberculosis del sistema nervioso central
B902,Secuelas de tuberculosis de huesos y articulaciones
B908,Secuelas de tuberculosis de otros órganos especificados
B909,Secuelas de tuberculosis respiratoria y de tuberculosis no especificada
B91X,Secuelas de poliomielitis
B941,Secuelas de encefalitis viral
B942,Secuelas de hepatitis viral
B948,Secuelas de otras enfermedades infecciosas y parasitarias especificadas
B949,Secuelas de enfermedades infecciosas y parasitarias no especificadas
B99X,Otras enfermedades infecciosas y las no especificadas
C000,"Tumor maligno del labio superior, cara externa"
C001,"Tumor maligno del labio inferior, cara externa"
C009,"Tumor maligno del labio, parte no especificada"
C01X,Tumor maligno de la base de la lengua
C020,Tumor maligno de la cara dorsal de la lengua
C021,Tumor maligno del borde de la lengua
C023,"Tumor maligno de los dos tercios anteriores de la lengua, parte no especificada"
C024,Tumor maligno de la amígdala lingual
C028,Lesión de sitios contiguos de la lengua
C029,"Tumor maligno de la lengua, parte no especificada"
C030,Tumor maligno de la encía superior
C031,Tumor maligno de la encía inferior
C039,"Tumor maligno de la encía, parte no especificada"
C040,Tumor maligno de la parte anterior del piso de la boca
C048,Lesión de sitios contiguos del piso de la boca
C049,"Tumor maligno del piso de la boca, parte no especificada"
C050,Tumor maligno del paladar duro
C051,Tumor maligno del paladar blando
C052,Tumor maligno de la úvula
C059,"Tumor maligno del paladar, parte no especificada"
C060,Tumor maligno de la mucosa de la mejilla
C061,Tumor maligno del vestíbulo de la boca
C062,Tumor maligno del área retromolar
C068,Lesión de sitios contiguos de otras partes y de las no especificadas de la boca
C069,"Tumor maligno de la boca, parte no especificada"
C07X,Tumor maligno de la glándula parótida
C080,Tumor maligno de la glándula submaxilar
C081,Tumor maligno de la glándula sublingual
C088,Lesión de sitios contiguos de las glándulas salivales mayores
C089,"Tumor maligno de glándula salival mayor, no especificada"
C090,Tumor maligno de la fosa amigdalina
C091,Tumor maligno del pilar amigdalino (anterior) (posterior)
C098,Lesión de sitios contiguos de la amígdala
C099,"Tumor maligno de la amígdala, parte no especificada"
C101,Tumor maligno de la cara anterior de la epiglotis
C109,"Tumor maligno de la orofaringe, parte no especificada"
C111,Tumor maligno de la pared posterior de la nasofaringe
C119,"Tumor maligno de la nasofaringe, parte no especificada"
C138,Lesión de sitios contiguos de la hipofaringe
C139,"Tumor maligno de la hipofaringe, parte no especificada"
C140,"Tumor maligno de la faringe, parte no especificada"
C148,"Lesión de sitios contiguos del labio, de la cavidad bucal y de la faringe"
C150,"Tumor maligno del esófago, porción cervical"
C151,"Tumor maligno del esófago, porción torácica"
C152,"Tumor maligno del esófago, porción abdominal"
C153,Tumor maligno del tercio superior del esófago
C154,Tumor maligno del tercio medio del esófago
C155,Tumor maligno del tercio inferior del esófago
C158,Lesión de sitios contiguos del esófago
C159,"Tumor maligno del esófago, parte no especificada"
C160,Tumor maligno del cardias
C161,Tumor maligno del fundus gástrico
C162,Tumor maligno del cuerpo del estómago
C163,Tumor maligno del antro pilórico
C164,Tumor maligno del píloro
C165,"Tumor maligno de la curvatura menor del estómago, sin otra especificación"
C166,"Tumor maligno de la curvatura mayor del estómago, sin otra especificación"
C168,Lesión de sitios contiguos del estómago
C169,"Tumor maligno del estómago, parte no especificada"
C170,Tumor maligno del duodeno
C171,Tumor maligno del yeyuno
C172,Tumor maligno del íleon
C178,Lesión de sitios contiguos del intestino delgado
C179,"Tumor maligno del intestino delgado, parte no especificada"
C180,Tumor maligno del ciego
C181,Tumor maligno del apéndice
C182,Tumor maligno del colon ascendente
C183,Tumor maligno del ángulo hepático
C184,Tumor maligno del colon transverso
C185,Tumor maligno del ángulo esplénico
C186,Tumor maligno del colon descendente
C187,Tumor maligno del colon sigmoide
C188,Lesión de sitios contiguos del colon
C189,"Tumor maligno del colon, parte no especificada"
C19X,Tumor maligno de la unión rectosigmoidea
C20X,Tumor maligno del recto
C210,"Tumor maligno del ano, parte no especificada"
C211,Tumor maligno del conducto anal
C212,Tumor maligno de la zona cloacogénica
C218,"Lesión de sitios contiguos del ano, del conducto anal y del recto"
C220,Carcinoma de células hepáticas
C221,Carcinoma de vías biliares intrahepáticas
C222,Hepatoblastoma
C223,Angiosarcoma del hígado
C224,Otros sarcomas del hígado
C227,Otros carcinomas especificados del hígado
C229,"Tumor maligno del hígado, no especificado"
C23X,Tumor maligno de la vesícula biliar
C240,Tumor maligno de las vías biliares extrahepáticas
C241,Tumor maligno de la ampolla de Vater
C248,Lesión de sitios contiguos de las vías biliares
C249,"Tumor maligno de las vías biliares, parte no especificada"
C250,Tumor maligno de la cabeza del páncreas
C251,Tumor maligno del cuerpo del páncreas
C252,Tumor maligno de la cola del páncreas
C253,Tumor maligno del conducto pancreático
C254,Tumor maligno del páncreas endocrino
C257,Tumor maligno de otras partes especificadas del páncreas
C258,Lesión de sitios contiguos del páncreas
C259,"Tumor maligno del páncreas, parte no especificada"
C260,"Tumor maligno del intestino, parte no especificada"
C261,Tumor maligno del bazo
C268,Lesión de sitios contiguos de los órganos digestivos
C269,Tumor maligno de sitios mal definidos de los órganos digestivos
C300,Tumor maligno de la fosa nasal
C301,Tumor maligno del oído medio
C310,Tumor maligno del seno maxilar
C311,Tumor maligno del seno etmoidal
C313,Tumor maligno del seno esfenoidal
C318,Lesión de sitios contiguos de los senos paranasales
C319,Tumor maligno de seno paranasal no especificado
C320,Tumor maligno de la glotis
C321,Tumor maligno de la región supraglótica
C322,Tumor maligno de la región subglótica
C323,Tumor maligno del cartílago laríngeo
C328,Lesión de sitios contiguos de la laringe
C329,"Tumor maligno de la laringe, parte no especificada"
C33X,Tumor maligno de la tráquea
C340,Tumor maligno del bronquio principal
C341,"Tumor maligno del lóbulo superior, bronquio o pulmón"
C342,"Tumor maligno del lóbulo medio, bronquio o pulmón"
C343,"Tumor maligno del lóbulo inferior, bronquio o pulmón"
C348,Lesión de sitios contiguos de los bronquios y del pulmón
C349,"Tumor maligno de los bronquios o del pulmón, parte no especificada"
C37X,Tumor maligno del timo
C380,Tumor maligno del corazón
C381,Tumor maligno del mediastino anterior
C382,Tumor maligno del mediastino posterior
C383,"Tumor maligno del mediastino, parte no especificada"
C384,Tumor maligno de la pleura
C388,"Lesión de sitos contiguos del corazón, del mediastino y de la pleura"
C390,"Tumor maligno de las vías respiratorias superiores, parte no especificada"
C398,Lesión de sitios contiguos de los órganos respiratorios e intratorácicos
C399,Tumor maligno de sitios mal definidos del sistema respiratorio
C400,Tumor maligno del omóplato y de los huesos largos del miembro superior
C401,Tumor maligno de los huesos cortos del miembro superior
C402,Tumor maligno de los huesos largos del miembro inferior
C403,Tumor maligno de los huesos cortos del miembro inferior
C409,"Tumor maligno de los huesos y de los cartílagos articulares de los miembros, sin otra especificación"
C410,Tumor maligno de los huesos del cráneo y de la cara
C411,Tumor maligno del hueso del maxilar inferior
C412,Tumor maligno de la columna vertebral
C413,"Tumor maligno de la costilla, esternón y clavícula"
C414,"Tumor maligno de los huesos de la pelvis, sacro y cóccix"
C418,Lesión de sitios contiguos del hueso y del cartílago articular
C419,"Tumor maligno del hueso y del cartílago articular, no especificado"
C430,Melanoma maligno del labio
C431,"Melanoma maligno del párpado, incluida la comisura palpebral"
C432,Melanoma maligno de la oreja y del conducto auditivo externo
C433,Melanoma maligno de las otras partes y las no especificadas de la cara
C434,Melanoma maligno del cuero cabelludo y del cuello
C435,Melanoma maligno del tronco
C436,"Melanoma maligno del miembro superior, incluida el hombro"
C437,"Melanoma maligno del miembro inferior, incluido la cadera"
C438,Melanoma maligno de sitios contiguos de la piel
C439,"Melanoma maligno de piel, sitio no especificado"
C440,Tumor maligno de la piel del labio
C441,"Tumor maligno de la piel del párpado, incluida la comisura palpebral"
C442,Tumor maligno de la piel de la oreja y del conducto auditivo externo
C443,Tumor maligno de la piel de otras partes y de las no especificadas de la cara
C444,Tumor maligno de la piel del cuero cabelludo y del cuello
C445,Tumor maligno de la piel del tronco
C446,"Tumor maligno de la piel del miembro superior, incluido el hombro"
C447,"Tumor maligno de la piel miembro inferior, incluida la cadera"
C448,Lesión de sitios contiguos de la piel
C449,"Tumor maligno de la piel, sitio no especificado"
C450,Mesotelioma de la pleura
C451,Mesotelioma del peritoneo
C452,Mesotelioma del pericardio
C457,Mesotelioma de otros sitios especificados
C459,"Mesotelioma, de sitio no especificado"
C461,Sarcoma de Kaposi del tejido blando
C467,Sarcoma de Kaposi de otros sitios especificados
C469,Sarcoma de Kaposi de sitio no especificado
C470,"Tumor maligno de los nervios periféricos de la cabeza, cara y cuello"
C474,Tumor maligno de los nervios periféricos del abdomen
C475,Tumor maligno de los nervios periféricos de la pelvis
C478,Lesión de sitios contiguos de los nervios periféricos y del sistema nervioso autónomo
C479,"Tumor maligno de los nervios periféricos y del sistema nervioso autónomo, parte no especificada"
C480,Tumor maligno del retroperitoneo
C481,Tumor maligno de parte especificada del peritoneo
C482,"Tumor maligno del peritoneo, sin otra especificación"
C488,Lesión de sitios contiguos del peritoneo y del retroperitoneo
C490,"Tumor maligno del tejido conjuntivo y tejido blando de la cabeza, cara y cuello"
C491,"Tumor maligno del tejido conjuntivo y tejido blando del miembro superior, incluido el hombro"
C492,"Tumor maligno del tejido conjuntivo y tejido blando del miembro inferior, incluida la cadera"
C493,Tumor maligno del tejido conjuntivo y tejido blando del tórax
C494,Tumor maligno del tejido conjuntivo y tejido blando del abdomen
C495,Tumor maligno del tejido conjuntivo y tejido blando de la pelvis
C496,"Tumor maligno del tejido conjuntivo y tejido blando del tronco, sin otra especificación"
C498,Lesión de sitios contiguos  del tejido conjuntivo y del tejido blando
C499,"Tumor maligno del tejido conjuntivo y tejido blando, de sitio no especificado"
C500,Tumor maligno del pezón y aréola mamaria
C501,Tumor maligno de la porción central de la mama
C502,Tumor maligno del cuadrante superior interno de la mama
C503,Tumor maligno del cuadrante inferior interno de la mama
C504,Tumor maligno del cuadrante superior externo de la mama
C505,Tumor maligno del cuadrante inferior externo de la mama
C506,Tumor maligno de la prolongación axilar de la mama
C508,Lesión de sitios contiguos de la mama
C509,"Tumor maligno de la mama, parte no especificada"
C512,Tumor maligno del clítoris
C518,Lesión de sitios contiguos de la vulva
C519,"Tumor maligno de la vulva, parte no especificada"
C52X,Tumor maligno de la vagina
C530,Tumor maligno del endocérvix
C531,Tumor maligno del exocérvix
C538,Lesión de sitios contiguos del cuello del útero
C539,"Tumor maligno del cuello del útero, sin otra especificación"
C540,Tumor maligno del istmo uterino
C541,Tumor maligno del endometrio
C542,Tumor maligno del miometrio
C543,Tumor maligno del fondo del útero
C549,"Tumor maligno del cuerpo del útero, parte no especificada"
C55X,"Tumor maligno del útero, parte no especificada"
C56X,Tumor maligno del ovario
C570,Tumor maligno de la trompa de Falopio
C574,"Tumor maligno de los anexos uterinos, sin otra especificación"
C577,Tumor maligno de otras partes especificadas de los órganos genitales femeninos
C578,Lesión de sitios contiguos de los órganos genitales femeninos
C579,"Tumor maligno de órgano genital femenino, parte no especificada"
C58X,Tumor maligno de la placenta
C600,Tumor maligno del prepucio
C601,Tumor maligno del glande
C602,Tumor maligno del cuerpo del pene
C608,Lesión de sitios contiguos del pene
C609,"Tumor maligno del pene, parte no especificada"
C61X,Tumor maligno de la próstata
C620,Tumor maligno del testículo no descendido
C621,Tumor maligno del testículo descendido
C629,"Tumor maligno del testículo, no especificado"
C632,Tumor maligno del escroto
C638,Lesión de sitios contiguos de los órganos genitales masculinos
C639,"Tumor maligno de órgano genital masculino, parte no especificada"
C64X,"Tumor maligno del riñón, excepto de la pelvis renal"
C65X,Tumor maligno de la pelvis renal
C66X,Tumor maligno del uréter
C670,Tumor maligno del trígono vesical
C671,Tumor maligno de la cúpula vesical
C672,Tumor maligno de la pared lateral de la vejiga
C673,Tumor maligno de la pared anterior de la vejiga
C674,Tumor maligno de la pared posterior de la vejiga
C675,Tumor maligno del cuello de la vejiga
C676,Tumor maligno del orificio ureteral
C677,Tumor maligno del uraco
C678,Lesión de sitios contiguos de la vejiga
C679,"Tumor maligno de la vejiga urinaria, parte no especificada"
C680,Tumor maligno de la uretra
C688,Lesión de sitios contiguos de los órganos urinarios
C689,Tumor maligno de órgano urinario no especificado
C690,Tumor maligno de la conjuntiva
C692,Tumor maligno de la retina
C693,Tumor maligno de la coroides
C694,Tumor maligno del cuerpo ciliar
C695,Tumor maligno de la glándula y conducto lagrimales
C696,Tumor maligno de la órbita
C698,Lesión de sitios contiguos del ojo y sus anexos
C699,"Tumor maligno del ojo, parte no especificada"
C700,Tumor maligno de las meninges cerebrales
C701,Tumor maligno de las meninges raquídeas
C709,"Tumor maligno de las meninges, parte no especificada"
C710,"Tumor maligno del cerebro, excepto lóbulos y ventrículos"
C711,Tumor maligno del lóbulo frontal
C712,Tumor maligno del lóbulo temporal
C713,Tumor maligno del lóbulo parietal
C714,Tumor maligno del lóbulo occipital
C715,Tumor maligno del ventrículo cerebral
C716,Tumor maligno del cerebelo
C717,Tumor maligno del pedúnculo cerebral
C718,Lesión de sitios contiguos del encéfalo
C719,"Tumor maligno del encéfalo, parte no especificada"
C720,Tumor maligno de la médula espinal
C721,Tumor maligno de la cola de caballo
C723,Tumor maligno del nervio óptico
C724,Tumor maligno del nervio acústico
C725,Tumor maligno de otros nervios craneales y los no especificados
C728,Lesión de sitios contiguos del encéfalo y otras partes del sistema nervioso central
C729,"Tumor maligno del sistema nervioso central, sin otra especificación"
C73X,Tumor maligno de la glándula tiroides
C741,Tumor maligno de la médula de la glándula suprarrenal
C749,"Tumor maligno de la glándula suprarrenal, parte no especificada"
C750,Tumor maligno de la glándula paratiroides
C751,Tumor maligno de la hipófisis
C752,Tumor maligno del conducto craneofaríngeo
C753,Tumor maligno de la glándula pineal
C754,Tumor maligno del cuerpo carotídeo
C758,"Tumor maligno pluriglandular, no especificado"
C759,Tumor maligno de glándula endocrina no especificada
C760,"Tumor maligno de la cabeza, cara y cuello"
C761,Tumor maligno del tórax
C762,Tumor maligno del abdomen
C763,Tumor maligno de la pelvis
C764,Tumor maligno del miembro superior
C765,Tumor maligno del miembro inferior
C767,Tumor maligno de otros sitios mal definidos
C768,Lesión de sitios contiguos mal definidos
C800,"Tumor maligno,  de sitio primario desconocido, así descrito"
C809,"Tumor maligno, sitio primario no especificado"
C810,Linfoma de Hodgkin con predominio linfocítico nodular
C811,Linfoma de Hodgkin clásico con esclerosis nodular
C812,Linfoma de Hodgkin clásico con celularidad mixta
C814,Linfoma de Hodgkin clásico rico en linfocitos
C817,Otros linfomas de Hodgkin clásicos
C819,"Linfoma de Hodgkin, no especificado"
C820,Linfoma folicular grado I
C821,Linfoma folicular grado II
C822,Linfoma folicular grado III no especificado
C823,Linfoma folicular grado IIIa
C824,Linfoma folicular grado IIIb
C827,Otros tipos especificados de linfoma folicular
C829,"Linfoma folicular, sin otra especificación"
C830,Linfoma de células B pequeñas
C831,Linfoma de células del manto
C833,Linfoma de células B grandes difuso
C835,Linfoma linfoblástico (difuso)
C837,Linfoma de Burkitt
C838,Otros tipos especificados de linfoma no folicular
C839,"Linfoma no Hodgkin no folicular (difuso), sin otra especificación"
C840,Micosis fungoide
C841,Enfermedad de Sézary
C844,"Linfoma periférico de células T, no clasificado en otra parte"
C845,Otros linfomas de células T/NK maduras
C846,Linfoma anaplásico de células grandes ALK-positivo
C848,"Linfoma cutáneo de células T, no especificado"
C849,"linfoma de células T/NK maduras, no especificado"
C851,"Linfoma de células B, sin otra especificación"
C852,Linfoma mediastinal de células B grandes (del timo)
C857,Otros tipos especificados de linfoma no Hodgkin
C859,"Linfoma no Hodgkin, no especificado"
C860,"Linfoma extranodal de células T/NK, tipo nasal"
C865,Linfoma angioinmunoblástico de células T
C880,Macroglobulinemia de Waldenström
C884,Linfoma de células B extranodal de zona marginal de tejido linfoide asociado a mucosas [Linfoma TLAM]
C900,Mieloma múltiple
C901,Leucemia de células plasmáticas
C902,"Plasmocitoma, extramedular"
C903,Plasmocitoma solitario
C910,Leucemia linfoblástica aguda [LLA]
C911,Leucemia linfocítica crónica de células tipo B
C913,Leucemia prolinfocítica de células tipo B
C914,Leucemia de células vellosas
C915,Leucemia /linfoma de células T adultas [HTLV-1-asociado]
C917,Otras leucemias linfoides
C918,Leucemia tipo Burkitt de células B maduras
